Time,NS,UD,EW
34.732,6009.0,-124282.31319797039,-248285.0
34.736000000000004,-110292.0,-70858.79276418686,-30535.0
34.74,-171461.0,-34568.584456562996,185317.0
34.744,-146651.0,-32250.251186966896,273479.0
34.748,-50044.0,-49563.83806192875,196756.0
34.752,78101.0,-61396.171199560165,6172.0
34.756,190805.0,-55727.431723475456,-210719.0
34.76,244834.0,-42394.31130206585,-374626.0
34.764,215852.0,-42503.37752509117,-421357.0
34.768,114231.0,-64978.23045825958,-307779.0
34.772,-17132.0,-91623.73970496655,-49161.0
34.776,-124758.0,-90949.51214444637,253955.0
34.78,-172837.0,-49711.66335594654,456027.0
34.784,-163483.0,10679.476119041443,456733.0
34.788000000000004,-132958.0,48350.589002490044,266569.0
34.792,-118376.0,31941.07999277115,-5142.0
34.796,-120959.0,-35495.19666540623,-229567.0
34.800000000000004,-104291.0,-117248.89387345314,-341918.0
34.804,-31506.0,-170188.3766067028,-359890.0
34.808,94509.0,-177129.85580933094,-327641.0
34.812,222161.0,-153755.43187963963,-255154.0
34.816,279131.0,-125733.52492582798,-123677.0
34.82,219717.0,-105715.81681883335,58001.0
34.824,59810.0,-93677.06909382343,222707.0
34.828,-129119.0,-89622.68999326229,280957.0
34.832,-263303.0,-97608.86136519909,192514.0
34.836,-291257.0,-119167.01720070839,9444.0
34.84,-211742.0,-146186.5965511799,-151094.0
34.844,-67323.0,-160089.3851788044,-189638.0
34.848,75793.0,-141865.4108223915,-94653.0
34.852000000000004,158454.0,-91563.34766411781,61916.0
34.856,158597.0,-38213.73987734318,191302.0
34.86,98949.0,-18916.22939181328,244087.0
34.864,26940.0,-40834.93472492695,212753.0
34.868,-14725.0,-69537.37885546684,108350.0
34.872,-9100.0,-61039.22719693184,-46853.0
34.876,29318.0,-4661.905004024506,-211422.0
34.88,68408.0,64883.586215138435,-327741.0
34.884,85318.0,94043.92820763588,-345898.0
34.888,83370.0,52168.80818212032,-253839.0
34.892,83114.0,-41472.20596194267,-90942.0
34.896,100118.0,-123889.31424558163,70472.0
34.9,134058.0,-127264.05754315853,172023.0
34.904,175525.0,-28015.59733760357,212756.0
34.908,215693.0,130896.59373152256,244706.0
34.912,247044.0,265861.0871697664,312917.0
34.916000000000004,260421.0,307061.0782610178,395233.0
34.92,246258.0,239966.42225182056,407162.0
34.924,198247.0,110068.55062866211,273739.0
34.928,116399.0,-5221.65809905529,4831.0
34.932,9344.0,-39724.44227230549,-294254.0
34.936,-106036.0,25070.809315919876,-489871.0
34.94,-207386.0,148658.16335725784,-508409.0
34.944,-268361.0,252649.6522037983,-371524.0
34.948,-262151.0,266026.93993866444,-160452.0
34.952,-175565.0,170283.92222356796,42489.0
34.956,-29111.0,15217.892920136452,184939.0
34.96,117833.0,-107816.91901612282,242723.0
34.964,191830.0,-120245.06019854546,209822.0
34.968,150326.0,-4173.360434770584,99421.0
